season,outage_days,total_days,avg_customers,outage_rate
Fall,581,5164,596.2244384198295,0.11250968241673122
Spring,536,4917,401.7443563148261,0.1090095586739882
Winter,5989,79864,288.86242862866874,0.07498998297105079
