season,outage_rate,outage_days,avg_customers,peak_customers
Winter,0.08954467976191124,16443,375.09535530880197,599357.0
Spring,0.10011452567283832,18882,449.1159678479778,270977.0
Summer,0.12433669076273053,24837,558.2187418650753,284600.0
Fall,0.09157791551366751,17937,380.97132733603587,351202.0
