state,outage_rate,major_outage_days,peak_customers_out,avg_customers_out,total_county_days,vulnerability_score,vulnerability_normalized,outage_rate_normalized,composite_risk_score,risk_level
New Jersey,0.1943927701299792,16197,216332.0,778.8046350859927,83321,277.77441254713824,0.1080321917336894,1.0,0.643,HIGH
New York,0.0878087484800255,18703,599357.0,374.1782701164805,212997,1601.795314873368,1.0,0.2897901080480149,0.574,HIGH
Massachusetts,0.140884578156174,7132,351202.0,684.322067044624,50623,513.2115664729813,0.266641743745089,0.6434545567714677,0.493,MEDIUM-HIGH
Pennsylvania,0.0887302100697468,21398,270977.0,366.4826089119996,241158,739.3993423165884,0.419020164902479,0.295930157240596,0.345,MEDIUM-LOW
Connecticut,0.1048064959727588,3201,190956.0,586.5924955798572,30542,325.5343384699059,0.1402071493748007,0.4030525673112648,0.298,MEDIUM-LOW
Maine,0.1037654286923091,5641,109526.0,494.31252874197526,54363,221.57237300608887,0.070169942020373,0.3961155398908582,0.266,MEDIUM-LOW
Rhode Island,0.0854105351672773,1422,84135.0,410.5045948705628,16649,204.9550749280378,0.0589751829950844,0.2738099002142503,0.188,MEDIUM-LOW
New Hampshire,0.0707158717220832,2516,80811.0,356.6790241434554,35579,226.565047367344,0.0735334121888362,0.1758937662935652,0.135,LOW
Vermont,0.0443187950167749,1889,21446.0,182.65380193792083,42623,117.4133786018258,0.0,0.0,0.0,LOW
