feature,importance
log_pop_density,0.10030020624399186
population_density,0.08065980151295662
is_winter,0.07284818477928638
is_hurricane_season,0.04232247043401003
gust_x_leafon,0.03865184783935547
baseline_extreme,0.03854177445173264
ice_x_canopy,0.03209280008450151
wind_dir_sin,0.03196174055337906
temp_mean,0.02769085094332695
wind_x_leafon,0.027321581915020942
leaf_on,0.025973492488265037
tier_x_density,0.024842973705381154
infrastructure_vulnerability,0.024742273986339568
land_area_sqmi,0.02439395375549793
snow_load,0.021258965134620667
month,0.02104698121547699
soil_saturation,0.020788734406232835
snow_x_canopy,0.018928267434239386
log_duration,0.018275853991508485
baseline_typical,0.018094605393707754
is_extreme_cold,0.01681292550638318
storm_duration_hrs,0.016756687313318253
wind_x_soil,0.016193238086998463
log_days_since,0.015654405020177363
wind_x_canopy,0.015629489533603193
log_pop,0.015062469244003295
wind_speed_daily,0.014380617439746857
month_sin,0.014191899821162224
tree_canopy_pct,0.013394558615982533
wind_dir_cos,0.013099148310720921
wind_gust_daily,0.013091390021145344
impervious_pct,0.011706754937767983
tier_x_canopy,0.010921532660722733
month_cos,0.010841534286737443
type_wind,0.010677828441839666
ndvi_modeled,0.010275568626821042
is_summer,0.009314998984336853
type_snow,0.008723730989731848
baseline_high,0.007357946224510669
days_since_last_storm,0.006764678098261356
storms_365d_prior,0.006136295478790998
type_winter_storm,0.006074177284608595
ice_risk,0.006047816714271903
tier_moderate,0.004272820625919849
magnitude,0.004215995129197836
storms_90d_prior,0.003442960698157549
type_thunderstorm,0.003086704760789871
storms_30d_prior,0.0029464693274348975
tier_severe,0.0014333006809465587
type_tornado,0.0007547446948592551
type_ice,0.0
type_hurricane,0.0
is_extreme_heat,0.0
