storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,month,is_winter,is_summer,baseline_typical,baseline_high,baseline_extreme,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-03 19:19:00,Monmouth,New Jersey,Thunderstorm Wind,0,1,50.0,8,0,1,2050.5,3662.5,11675.0,38,1367.3,0.501,472,202864.0,10418.5400390625,True,True,True,True,True,True,0.65,3646.0,17191.0,False,94.86427358276359
2020-08-28 15:42:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1830.0,2771.0,5455.1,20,11571.2,0.52,134,1710.0,13782.599609375,True,True,True,False,True,False,0.65,4824.0,22741.0,False,705.9999771564327
2020-08-28 15:43:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,14416.892578125,True,True,True,True,True,True,0.65,5046.0,23788.0,True,10.271474515259293
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,52.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,19252.40625,True,True,True,False,True,False,0.65,6738.0,31766.0,False,541.9608619539846
2020-08-28 15:23:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3093.150390625,True,False,True,False,True,True,0.65,1083.0,5104.0,True,3.13939281843948
2020-08-28 15:23:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3907.814453125,True,False,True,False,True,True,0.65,1368.0,6448.0,False,195.15214902756796
2020-08-28 15:26:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2776.257568359375,True,False,True,False,True,True,0.65,972.0,4581.0,True,7.427223462508337
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2776.257568359375,True,False,True,False,True,True,0.65,972.0,4581.0,True,7.427223462508337
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3093.150390625,True,False,True,False,True,True,0.65,1083.0,5104.0,True,3.13939281843948
2020-08-28 14:48:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3623.14453125,True,False,True,False,True,True,0.65,1268.0,5978.0,True,173.65139964123867
2020-08-28 14:50:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3907.814453125,True,False,True,False,True,True,0.65,1368.0,6448.0,False,195.15214902756796
2020-08-28 14:55:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12977.1025390625,True,True,True,True,True,True,0.65,4542.0,21412.0,True,0.7411462516253633
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2788.407958984375,True,False,True,False,True,True,0.65,976.0,4601.0,True,7.022075392318272
2020-08-28 14:55:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,6055.6025390625,True,False,True,False,True,True,0.65,2119.0,9992.0,False,357.3717929805514
2020-08-28 15:03:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3782.465576171875,True,False,True,False,True,True,0.65,1324.0,6241.0,True,185.6847111912292
2020-08-28 15:05:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12426.4716796875,True,True,True,True,True,True,0.75,3107.0,21746.0,True,4.952794250516292
2020-08-28 15:12:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,9449.796875,True,False,True,True,True,False,0.65,3307.0,15592.0,True,27.720690875019123
2020-08-28 15:13:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3093.150390625,True,False,True,False,True,True,0.65,1083.0,5104.0,True,3.13939281843948
2020-08-28 15:08:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3907.814453125,True,False,True,False,True,True,0.65,1368.0,6448.0,False,195.15214902756796
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3093.150390625,True,False,True,False,True,True,0.65,1083.0,5104.0,True,3.13939281843948
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2776.257568359375,True,False,True,False,True,True,0.65,972.0,4581.0,True,7.427223462508337
2020-08-28 15:15:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12217.640625,True,True,True,True,True,True,0.75,3054.0,21381.0,True,6.550094653510785
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,14416.892578125,True,True,True,True,True,True,0.65,5046.0,23788.0,True,10.271474515259293
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12426.4716796875,True,True,True,True,True,True,0.75,3107.0,21746.0,True,4.952794250516292
2020-08-28 15:36:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1830.0,2771.0,5455.1,20,11571.2,0.52,134,1710.0,13782.599609375,True,True,True,False,True,False,0.65,4824.0,22741.0,False,705.9999771564327
2020-08-28 15:39:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2971.6669921875,True,False,True,False,True,True,0.65,1040.0,4903.0,True,0.9114040617705902
2020-08-28 15:16:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12459.55859375,True,True,True,True,True,True,0.75,3115.0,21804.0,True,4.699720102875937
2020-08-28 15:16:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2788.407958984375,True,False,True,False,True,True,0.65,976.0,4601.0,True,7.022075392318272
2020-08-28 15:21:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,13166.048828125,True,True,True,True,True,True,0.65,4608.0,21724.0,True,0.7040601814670338
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,2776.257568359375,True,False,True,False,True,True,0.65,972.0,4581.0,True,7.427223462508337
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3046.33935546875,True,False,True,False,True,True,0.65,1066.0,5026.0,True,1.578504683852951
2020-08-28 15:21:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3907.814453125,True,False,True,False,True,True,0.65,1368.0,6448.0,False,195.15214902756796
2020-08-28 15:23:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,14147.3330078125,True,True,True,True,True,True,0.65,4952.0,23343.0,True,8.20967575196956
2020-08-28 15:36:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3623.14453125,True,False,True,False,True,True,0.65,1268.0,5978.0,True,173.65139964123867
2020-08-28 15:31:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3461.28466796875,True,False,True,False,True,True,0.65,1211.0,5711.0,True,161.42633443872734
2020-08-28 15:32:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,11172.26953125,True,True,True,True,True,True,0.65,3910.0,18434.0,True,14.54589619664984
2020-08-28 15:29:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,13912.158203125,True,True,True,True,True,True,0.65,4869.0,22955.0,True,6.410878102531742
2020-08-28 15:29:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2089.0,3446.0,9478.5,48,741.7,0.436,750,2999.0,3093.150390625,True,False,True,False,True,True,0.65,1083.0,5104.0,True,3.13939281843948
