feature,importance
is_winter,0.14776481688022614
population_2023,0.10392181724309921
population_density,0.09235866665840149
baseline_extreme,0.0815424606204033
baseline_typical,0.057872095704078676
land_area_sqmi,0.05729033574461937
baseline_high,0.05326409712433815
month_cos,0.042510607093572614
is_hurricane_season,0.04178450368344784
infrastructure_vulnerability,0.04060577377676964
month_sin,0.036960075795650485
is_summer,0.03543062284588814
tier_x_canopy,0.03286814615130425
storm_duration_hrs,0.0319577056914568
tier_x_density,0.029424700513482095
month,0.026412065699696542
tree_canopy_pct,0.025080888345837594
magnitude,0.02335333600640297
log_duration,0.02043213415890932
tier_severe,0.012926116585731506
tier_moderate,0.0062390720471739766
