storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,log_duration,month,month_sin,month_cos,is_winter,is_summer,is_hurricane_season,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,tier_x_canopy,tier_x_density,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-03 19:15:00,Middlesex,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,28,2786.9,0.568,309,861149,0.14,3.9665219516157015,100804.0,5176.9227086029805,True,False,True,True,True,False,0.5,2588.0,7765.0,False,94.8643677744901
2020-08-03 18:51:00,Ocean,New Jersey,Thunderstorm Wind,0,1,58.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,216332.0,28784.420134973916,True,True,True,True,True,True,0.5,14392.0,43177.0,False,86.69433087339186
2020-08-03 18:59:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,216332.0,14504.596841053732,True,True,True,True,True,True,0.5,7252.0,21757.0,False,93.29521437371552
2020-08-27 19:27:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,17283.0,11887.473282903291,True,True,True,True,True,True,0.5,5944.0,17831.0,True,31.218693034176408
2020-08-03 19:18:00,Ocean,New Jersey,Thunderstorm Wind,0,1,51.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,216332.0,147489.82882403658,True,True,True,True,True,True,0.5,73745.0,221235.0,True,31.82246323981816
2020-08-03 19:19:00,Ocean,New Jersey,Thunderstorm Wind,0,1,51.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,216332.0,137139.94025008054,True,True,True,True,True,True,0.5,68570.0,205710.0,False,36.6067247332431
2020-08-27 19:40:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,17283.0,13570.718899269232,True,True,True,True,True,True,0.5,6785.0,20356.0,True,21.47937916293912
2020-08-03 19:19:00,Monmouth,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,38,1367.3,0.501,472,645354,0.19,3.610662186192882,202864.0,10008.13167493987,True,True,True,True,True,True,0.5,5004.0,15012.0,False,95.06658072652621
2020-08-28 15:42:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,20,11571.2,0.52,134,1550542,0.1,4.678180474521903,1710.0,13801.688822427019,True,True,True,False,True,False,0.5,6901.0,20703.0,False,707.1163054050888
2020-08-28 15:43:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,14343.285169448005,True,True,True,True,True,True,0.5,7172.0,21515.0,True,9.708468482851499
