feature,importance
baseline_n_history,0.15279465466737746
population_density,0.09997497498989105
infrastructure_vulnerability,0.07542708963155746
is_winter,0.07012713178992272
tree_canopy_pct,0.0692108117043972
population_2023,0.06737964004278182
baseline_extreme,0.06183350160717964
land_area_sqmi,0.05966932997107506
baseline_high,0.04521713778376579
baseline_p25,0.04320787489414215
month,0.04073893129825592
magnitude,0.038913749158382416
storm_duration_hrs,0.03575410470366478
baseline_typical,0.03369576781988144
is_hurricane_season,0.03319936878979206
is_summer,0.03178302645683288
tier_severe,0.024977102503180505
tier_moderate,0.016095776483416556
