storm_date,county,state,event_type,storm_tier,magnitude,predicted_customers,actual_customers,ci_low,ci_high,in_ci,predicted_major,actual_major,major_correct,predicted_critical,actual_critical,critical_correct,pct_error
2020-08-28 15:13:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:08:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:15:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:36:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2229,1710.0,780,3678,True,True,True,True,False,False,True,30.4
2020-08-28 15:39:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:16:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:16:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:23:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:36:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:31:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:32:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:29:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:29:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:30:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:59:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 16:30:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,60.0,7853,11016.0,1963,13743,True,True,True,True,False,True,False,28.7
2020-08-28 16:35:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-08-28 16:40:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-08-28 16:43:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,MODERATE,52.0,2058,2005.0,720,3396,True,True,True,True,False,False,True,2.6
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,MODERATE,52.0,2058,2005.0,720,3396,True,True,True,True,False,False,True,2.6
2020-10-07 16:50:00,Fairfield,Connecticut,Thunderstorm Wind,MODERATE,52.0,2058,2005.0,720,3396,True,True,True,True,False,False,True,2.6
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,MODERATE,55.0,2102,3722.0,736,3468,False,True,True,True,False,False,True,43.5
2020-08-04 09:51:00,Philadelphia,Pennsylvania,Tornado,SEVERE,,3275,5698.0,819,5731,True,True,True,True,False,False,True,42.5
2020-08-04 09:50:00,Bucks,Pennsylvania,Tornado,SEVERE,,4322,79252.0,1080,7564,False,True,True,True,False,True,False,94.5
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,MODERATE,52.0,2102,3722.0,736,3468,False,True,True,True,False,False,True,43.5
2020-10-07 16:38:00,Fairfield,Connecticut,Thunderstorm Wind,MODERATE,52.0,2058,2005.0,720,3396,True,True,True,True,False,False,True,2.6
2020-10-07 16:39:00,Fairfield,Connecticut,Thunderstorm Wind,MODERATE,52.0,2058,2005.0,720,3396,True,True,True,True,False,False,True,2.6
2020-08-04 09:44:00,Montgomery,Pennsylvania,Tornado,SEVERE,,3536,55420.0,884,6188,False,True,True,True,False,True,False,93.6
2020-08-04 09:55:00,Bucks,Pennsylvania,Tornado,SEVERE,,4322,79252.0,1080,7564,False,True,True,True,False,True,False,94.5
2020-01-18 20:00:00,Kennebec,Maine,Winter Storm,MODERATE,,1663,208.0,582,2744,False,True,False,False,False,False,True,699.5
2020-01-16 04:00:00,Androscoggin,Maine,Heavy Snow,MODERATE,,1557,257.0,545,2569,False,True,False,False,False,False,True,505.8
2020-03-23 19:00:00,Kennebec,Maine,Winter Storm,MODERATE,,1663,1111.0,582,2744,True,True,True,True,False,False,True,49.7
2020-03-29 13:05:00,Erie,New York,Thunderstorm Wind,MODERATE,50.0,2388,808.0,836,3940,False,True,False,False,False,False,True,195.5
2020-03-29 13:07:00,Erie,New York,Thunderstorm Wind,MODERATE,50.0,2388,808.0,836,3940,False,True,False,False,False,False,True,195.5
2020-03-29 13:08:00,Erie,New York,Thunderstorm Wind,MODERATE,50.0,2388,808.0,836,3940,False,True,False,False,False,False,True,195.5
2020-03-29 13:12:00,Erie,New York,Thunderstorm Wind,MODERATE,50.0,2388,808.0,836,3940,False,True,False,False,False,False,True,195.5
2020-07-02 17:30:00,Penobscot,Maine,Thunderstorm Wind,MODERATE,52.0,2209,1766.0,773,3645,True,True,True,True,False,False,True,25.1
2020-03-29 13:04:00,Erie,New York,Thunderstorm Wind,MODERATE,59.0,2388,808.0,836,3940,False,True,False,False,False,False,True,195.5
2020-03-03 21:00:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,8374.0,809,3815,False,True,True,True,False,False,True,72.4
2020-07-02 15:22:00,Penobscot,Maine,Thunderstorm Wind,MODERATE,52.0,2209,1766.0,773,3645,True,True,True,True,False,False,True,25.1
2020-03-03 21:22:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2164,2397.0,757,3571,True,True,True,True,False,False,True,9.7
2020-03-03 21:39:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,665.0,906,4272,False,True,False,False,False,False,True,289.3
2020-03-03 22:20:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,1093.0,1008,4752,True,True,True,True,False,False,True,163.5
2020-03-23 18:00:00,Androscoggin,Maine,Winter Storm,MODERATE,,1557,167.0,545,2569,False,True,False,False,False,False,True,832.3
2020-03-03 20:45:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,8374.0,809,3815,False,True,True,True,False,False,True,72.4
2020-03-03 20:50:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,8374.0,809,3815,False,True,True,True,False,False,True,72.4
2020-03-03 21:30:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,54.0,2164,2397.0,757,3571,True,True,True,True,False,False,True,9.7
2020-05-15 18:58:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,43.0,1885,10918.0,660,3110,False,True,True,True,False,True,False,82.7
2020-05-15 19:41:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,55.0,2228,10918.0,780,3676,False,True,True,True,False,True,False,79.6
2020-05-15 19:15:00,Middlesex,Massachusetts,Thunderstorm Wind,SEVERE,60.0,5679,15420.0,1420,9938,False,True,True,True,False,True,False,63.2
2020-05-15 19:25:00,Middlesex,Massachusetts,Thunderstorm Wind,SEVERE,87.0,5679,15420.0,1420,9938,False,True,True,True,False,True,False,63.2
2020-05-15 19:25:00,Middlesex,Massachusetts,Thunderstorm Wind,SEVERE,78.0,5679,15420.0,1420,9938,False,True,True,True,False,True,False,63.2
2020-05-15 19:35:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
2020-05-15 19:30:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
2020-05-15 19:35:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,10918.0,780,3676,False,True,True,True,False,True,False,79.6
2020-05-15 19:40:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,51.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
