county,state,date_only,wind_speed_max,wind_gust_max,wind_dir,precip_sum,rain_sum,snowfall_sum,temp_mean,temp_max,temp_min,soil_moisture_shallow,soil_moisture_deep
Worcester,Massachusetts,2024-07-16,13.7,32.2,241,0.6,0.6,0.0,25.8,32.2,21.1,0.1444,0.1367
Fairfield,Connecticut,2024-07-15,8.6,24.6,211,2.4,2.4,0.0,26.1,31.7,22.0,0.176,0.1428
Essex,Massachusetts,2024-07-16,11.2,27.5,238,0.0,0.0,0.0,28.9,35.5,23.5,0.2059,0.207
Nassau,New York,2024-07-16,11.2,25.3,221,6.0,6.0,0.0,27.2,31.5,23.0,0.3314,0.3388
Kennebec,Maine,2024-07-09,11.8,26.2,201,0.3,0.3,0.0,24.4,30.5,18.8,0.272,0.2754
Erie,New York,2024-07-15,14.7,34.9,235,10.6,10.6,0.0,23.1,27.7,20.8,0.3526,0.3383
Fairfield,Connecticut,2024-07-17,10.7,25.3,218,11.2,11.2,0.0,25.2,31.0,20.9,0.1742,0.1367
Chittenden,Vermont,2024-07-30,8.3,26.4,175,3.0,3.0,0.0,23.3,29.6,18.4,0.1756,0.1624
New Haven,Connecticut,2024-07-17,10.1,23.3,214,8.0,8.0,0.0,25.6,29.9,21.3,0.2738,0.2797
Hillsborough,New Hampshire,2024-07-16,13.0,30.9,239,0.0,0.0,0.0,27.2,33.2,22.3,0.1217,0.096
Middlesex,New Jersey,2024-07-14,8.4,18.6,241,2.0,2.0,0.0,26.7,31.4,21.6,0.3267,0.3093
Monmouth,New Jersey,2024-07-14,6.7,18.3,241,3.7,3.7,0.0,26.9,31.4,22.0,0.2074,0.1367
Rockingham,New Hampshire,2024-07-16,11.4,27.3,234,5.0,5.0,0.0,27.6,34.2,22.8,0.2263,0.1961
Ocean,New Jersey,2024-07-14,7.6,21.0,238,5.9,5.9,0.0,26.8,31.8,22.6,0.2907,0.1839
Chittenden,Vermont,2024-07-10,7.3,17.0,147,11.9,11.9,0.0,24.1,27.1,21.2,0.1627,0.1521
York,Maine,2024-07-16,11.9,28.4,237,1.3,1.3,0.0,27.8,34.5,22.6,0.1784,0.194
Cumberland,Maine,2024-07-16,12.2,25.9,221,2.2,2.2,0.0,27.2,34.5,22.5,0.2345,0.2386
Androscoggin,Maine,2024-07-17,11.4,27.7,245,3.3,3.3,0.0,24.9,31.5,20.4,0.2368,0.1794
Montgomery,Pennsylvania,2024-07-14,10.7,24.8,222,2.7,2.7,0.0,26.2,31.7,21.9,0.3421,0.3176
Chester,Pennsylvania,2024-07-14,7.4,25.7,210,1.3,1.3,0.0,26.9,33.3,22.4,0.3637,0.2939
Rockingham,New Hampshire,2024-07-17,13.8,28.2,241,3.9,3.9,0.0,26.4,33.0,21.1,0.232,0.197
Philadelphia,Pennsylvania,2024-07-14,9.5,22.8,228,6.2,6.2,0.0,27.1,32.5,22.9,0.2838,0.1872
Middlesex,New Jersey,2024-07-17,15.3,31.8,244,22.4,22.4,0.0,27.0,34.4,23.8,0.3213,0.288
Erie,New York,2024-07-22,6.0,17.7,240,3.6,3.6,0.0,22.7,27.2,18.1,0.3117,0.3305
Androscoggin,Maine,2024-04-03,13.3,29.1,76,4.6,0.3,3.01,1.3,4.2,-2.2,0.2416,0.2525
Allegheny,Pennsylvania,2024-04-17,15.1,32.4,191,6.4,6.4,0.0,17.4,25.0,13.1,0.4598,0.4658
Penobscot,Maine,2024-06-20,11.5,28.2,260,2.2,2.2,0.0,28.0,34.1,24.1,0.1672,0.1819
Rockingham,New Hampshire,2024-06-05,8.6,21.0,223,9.6,9.6,0.0,20.7,29.5,14.0,0.2378,0.231
Kennebec,Maine,2024-04-03,11.7,26.8,77,1.2,0.2,0.7,1.9,6.1,-2.1,0.3544,0.3683
Hillsborough,New Hampshire,2024-06-20,10.2,25.1,274,4.8,4.8,0.0,27.0,34.9,22.5,0.1375,0.1176
Cumberland,Maine,2024-06-20,12.2,30.9,266,9.8,9.8,0.0,27.8,36.2,22.6,0.2648,0.2665
York,Maine,2024-06-20,15.6,32.4,274,9.1,9.1,0.0,27.6,35.6,21.8,0.2203,0.2065
Cumberland,Maine,2024-06-30,11.8,27.5,229,2.5,2.5,0.0,25.1,31.3,18.8,0.3653,0.3192
Androscoggin,Maine,2024-06-30,12.6,32.0,232,1.5,1.5,0.0,23.6,29.8,17.5,0.2731,0.264
Kennebec,Maine,2024-06-30,13.8,32.9,225,7.2,7.2,0.0,23.3,30.0,16.9,0.3941,0.3684
Penobscot,Maine,2024-06-05,6.6,16.3,222,12.1,12.1,0.0,19.3,28.0,12.9,0.194,0.1882
Rockingham,New Hampshire,2024-06-23,14.0,28.9,193,9.3,9.3,0.0,21.1,30.0,16.0,0.2877,0.2178
Androscoggin,Maine,2024-06-23,10.4,21.3,182,8.4,8.4,0.0,17.6,21.4,14.4,0.2804,0.2571
Cumberland,Maine,2024-06-23,11.6,28.2,170,10.1,10.1,0.0,18.9,23.5,15.2,0.3812,0.3109
Hillsborough,New Hampshire,2024-06-30,12.8,28.2,243,2.0,2.0,0.0,24.8,31.1,21.0,0.1635,0.1285
Penobscot,Maine,2024-06-30,13.5,30.9,219,6.0,6.0,0.0,22.0,29.8,15.1,0.2809,0.2628
Cumberland,Maine,2024-06-05,6.8,18.3,207,1.3,1.3,0.0,20.4,27.9,12.9,0.2348,0.2675
